Query Text,Query Type,Search Count,Share of Searches with Interactions,Share of Searches with Interactions Items,Share of Searches with Interactions Venues,Conversion Rate,Conversion Rate Items,Conversion Rate Venues,Avg Order Venue Position,Avg Order Item Position,Share of Searches with Empty Result
prisma,text,173,38.15%,0.00%,38.15%,5.20%,0.00%,5.20%,1.111111,0,10.40%
kotipi,text,170,3.53%,0.00%,3.53%,0.00%,0.00%,0.00%,,,10.59%
poke bowl,text,170,46.47%,7.06%,45.29%,20.00%,1.76%,18.24%,3.029412,0.470588,1.76%
via tri,text,168,45.83%,1.19%,45.24%,14.88%,0.60%,14.29%,0.12,0,2.38%
tandoori,text,166,52.41%,0.60%,52.41%,13.86%,0.00%,13.86%,0.608696,0,4.22%
verkko,text,166,2.41%,0.00%,2.41%,0.00%,0.00%,0.00%,,,2.41%
siipiweikot,text,166,46.99%,3.01%,43.98%,14.46%,0.00%,14.46%,4.833333,0,2.41%
baba döner,text,165,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,100.00%
morton,text,161,63.98%,3.73%,60.87%,16.15%,0.62%,15.53%,0,0,2.48%
tortilla house,text,161,54.04%,1.24%,52.80%,21.12%,0.62%,20.50%,0.735294,0,1.86%
arnold,text,160,62.50%,1.88%,61.25%,19.38%,1.25%,18.13%,0.096774,0.096774,3.13%
via tribunali,text,158,58.23%,1.27%,56.96%,20.25%,1.27%,18.99%,0.3125,0,3.16%
taco bell,recent_searches,158,60.13%,0.63%,59.49%,23.42%,0.00%,23.42%,0.243243,0,1.90%
dumplings,text,157,54.14%,10.83%,50.32%,12.10%,1.27%,10.83%,1.315789,0.894737,0.00%
espress,text,156,50.00%,0.64%,50.00%,9.62%,0.00%,9.62%,0,0,3.85%
treffi,text,154,59.74%,1.30%,59.09%,20.13%,0.65%,19.48%,0.16129,0.193548,1.30%
burger,recent_searches,153,47.06%,5.23%,44.44%,18.30%,0.00%,18.30%,4.857143,0,5.88%
daddy greens,text,152,61.18%,0.66%,61.18%,15.13%,0.00%,15.13%,0.130435,0,4.61%
musti ja mirri,text,148,60.14%,0.68%,59.46%,20.95%,0.00%,20.95%,0.741935,0,4.05%
kot kot,text,147,40.82%,1.36%,40.82%,11.56%,0.00%,11.56%,0,0,3.40%
soup,text,147,51.70%,14.97%,44.22%,9.52%,2.04%,7.48%,5.571429,0.357143,0.68%
cafe,text,145,62.07%,3.45%,60.69%,12.41%,0.00%,12.41%,3.944444,0,0.00%
coffee,text,144,45.14%,4.86%,43.75%,13.19%,0.69%,12.50%,1.842105,0,1.39%
vallila,text,143,38.46%,0.00%,38.46%,11.19%,0.00%,11.19%,2.625,0,1.40%
peking,text,143,55.94%,2.10%,55.94%,20.98%,0.00%,20.98%,0.133333,0,1.40%
ice cream,text,143,39.86%,1.40%,38.46%,11.19%,0.70%,10.49%,1.375,0.125,1.40%
bonele,text,142,46.48%,0.70%,45.77%,7.75%,0.00%,7.75%,0.090909,0,0.70%
pho viet,text,138,53.62%,0.00%,53.62%,16.67%,0.00%,16.67%,0.434783,0,2.90%
smoothie,text,138,52.90%,9.42%,47.83%,15.22%,2.90%,12.32%,2.095238,0.380952,0.72%
k supermarket,text,137,43.80%,0.00%,43.80%,13.14%,0.00%,13.14%,1.166667,0,3.65%
grill,text,136,51.47%,8.82%,49.26%,8.82%,0.74%,8.09%,2,0.083333,3.68%
matcha,text,135,59.26%,14.07%,55.56%,5.19%,0.00%,5.19%,4.857143,0,2.96%
pizza express,text,135,50.37%,1.48%,50.37%,17.04%,0.00%,17.04%,0.608696,0,2.22%
